2 Enemies weak to everything with 150 Speed (Each enemy performs 1.33 attacks per turn)

Topaz Metrics,Dr. Ratio | Robin | Aventurine | Topaz,Feixiao | Robin | Aventurine | Topaz,Sword March | Robin | Aventurine | Topaz,Moze | Robin | Aventurine | Topaz,Huohuo | Yunli | Robin | Topaz,
Turns taken,10,10,11,9,10,
Skills Used,5,5,8,7,2,
Basic Attacks Used,5,5,3,2,8,
Ultimates Used,3,3,3,2,3,
Leftover AV,45.67,33.62,57.56,32.67,32.67,
Leftover Energy,85.00,105.00,95.00,130.00,45.00,
Leftover AV (Numby),124.99996,61.56726,53.030426,124.99993,22.332409,
Leftover Ult Charges,0,0,0,0,0,
Numby Attacks,23,22,22,17,18,
Number of Useful Numby Advances,43,39,41,29,34,
Amount of AV Advanced by Numby,2304,2247,2251,1561,1786,
Number of Wasted Numby Advances,29,44,30,30,21,
Damage Contribution,2265.83 DPAV (28.2% of total),2167.99 DPAV (19.4% of total),2655.91 DPAV (38.2% of total),1914.94 DPAV (36.3% of total),1910.76 DPAV (24.7% of total),




Out of combat stats
Lightcone: ,WorrisomeBlissful
Relic Set Bonuses: ,|4 PC Duke|DuranDynastyOfRunningWolves|
HP: ,2892.9001
ATK: ,2074.696
DEF: ,875.0
SPD: ,137.3
CRIT RATE: ,87.700005%
CRIT DMG: ,142.8%
Effect Hit Rate: ,0.0%
Effect RES: ,0.0%
Break Effect: ,0.0%
ELEMENT DMG: ,61.199997%
ERR: ,0.0%

